SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
19,125,0.253017911107608,866,4.15704387990762
19,150,0.268094900610195,792,4.54545454545455
19,182,0.353664363734738,750,4.8
19,200,0.325339200369852,638,5.64263322884013
19,250,0.408708963947805,510,7.05882352941176
19,300,0.420544424870355,410,8.78048780487805
19,330,0.416616419983619,374,9.62566844919786
19,365,0.41835495246575,432,8.33333333333333
19,550,0.43741461581156,243,14.8148148148148
19,640,0.438866468320898,179,20.1117318435754
19,730,0.460498475384819,201,17.910447761194
19,1000,0.455091086287731,156,23.0769230769231
19,1500,0.454996234122652,102,35.2941176470588
19,2000,0.470837800495425,83,43.3734939759036
19,2250,0.467391448416932,53,67.9245283018868
19,3000,0.4932030017023,30,120
19,3182,0.489490770639265,36,100
19,3652,0.484072908869618,37,97.2972972972973
20,1,0,45139,0.0797536498371696
20,2,0.0029849962343305,27165,0.132523467697405
20,7,0.012403614336042,12734,0.282707711638134
20,15,0.0199976907900657,7639,0.4712658724964
20,21,0.0266809929303389,6593,0.546033672076445
20,30,0.0363035232843364,6652,0.541190619362598
20,45,0.0508645338657776,5020,0.717131474103586
20,50,0.0583231261672882,4788,0.75187969924812
20,60,0.0690811583444499,4630,0.777537796976242
20,75,0.0760837005891203,3702,0.972447325769854
20,90,0.0939738204160915,4688,0.767918088737201
20,100,0.0910601462720121,3632,0.991189427312775
20,125,0.112963244018465,3347,1.07559008066926
20,150,0.126186953484558,3060,1.17647058823529
20,182,0.15808305697158,2752,1.30813953488372
20,200,0.146430389073589,2421,1.48698884758364
20,250,0.188047446283464,2028,1.77514792899408
20,300,0.19100984953272,1654,2.17654171704958
20,330,0.186669431313357,1596,2.25563909774436
20,365,0.193924168383158,1726,2.08574739281576
20,550,0.250405235312959,1088,3.30882352941176
20,640,0.229060601268761,833,4.32172869147659
20,730,0.253615651593396,941,3.82571732199787
20,1000,0.249862368135907,742,4.85175202156334
20,1500,0.285811688126033,522,6.89655172413793
20,2000,0.33752135618636,459,7.84313725490196
20,2250,0.311270611112294,333,10.8108108108108
20,3000,0.362297435969598,237,15.1898734177215
20,3182,0.357003236063721,249,14.4578313253012
20,3652,0.334161203957648,246,14.6341463414634
21,1,0,14867,0.242147037061949
21,2,0.0035131589647779,8381,0.429543013960148
21,7,0.0149255446543165,3715,0.969044414535666
21,15,0.0243226242378097,2224,1.61870503597122
21,21,0.0283608617454513,1931,1.86431900569653
21,30,0.0354389533967742,1841,1.95545898967952
21,45,0.0529736742793725,1507,2.38885202388852
21,50,0.055579902660981,1453,2.4776324845148
21,60,0.0677394370248157,1398,2.57510729613734
21,75,0.0773218887357087,1215,2.96296296296296
21,90,0.0986127877393275,1350,2.66666666666667
21,100,0.10134323417283,1081,3.33024976873266
21,125,0.128565240326218,1011,3.56083086053412
21,150,0.138896697015026,897,4.01337792642141
21,182,0.203077473197568,792,4.54545454545455
21,200,0.170272022300631,724,4.97237569060774
21,250,0.21683900826057,612,5.88235294117647
21,300,0.253931045676913,487,7.39219712525667
21,330,0.251927381835384,444,8.10810810810811
21,365,0.248638916818076,470,7.65957446808511
21,550,0.303689455486191,319,11.2852664576803
21,640,0.274265104278955,243,14.8148148148148
21,730,0.300955777798661,263,13.6882129277567
21,1000,0.314684143166873,218,16.5137614678899
